,Iteration,Linf,L2
0,5,"tensor(0.1684, device='cuda:0')","tensor(1036.3951, device='cuda:0')"
1,10,"tensor(0.2322, device='cuda:0')","tensor(4497.3994, device='cuda:0')"
2,15,"tensor(0.3813, device='cuda:0')","tensor(12036.8770, device='cuda:0')"
3,20,"tensor(0.5285, device='cuda:0')","tensor(26541.4160, device='cuda:0')"
4,25,"tensor(0.7186, device='cuda:0')","tensor(50177.3242, device='cuda:0')"
5,30,"tensor(0.9869, device='cuda:0')","tensor(93707.3438, device='cuda:0')"
6,35,"tensor(1.3143, device='cuda:0')","tensor(168857.2812, device='cuda:0')"
7,40,"tensor(1.7784, device='cuda:0')","tensor(303259.6562, device='cuda:0')"
8,45,"tensor(2.3815, device='cuda:0')","tensor(543488.3750, device='cuda:0')"
9,50,"tensor(3.1772, device='cuda:0')","tensor(973557.1875, device='cuda:0')"
10,55,"tensor(4.2417, device='cuda:0')","tensor(1743632.2500, device='cuda:0')"
