,Iteration,Linf,L2
0,5,"tensor(0.8835, device='cuda:0')","tensor(3068.4846, device='cuda:0')"
1,10,"tensor(1.0013, device='cuda:0')","tensor(7893.3169, device='cuda:0')"
2,15,"tensor(1.0461, device='cuda:0')","tensor(15073.3818, device='cuda:0')"
3,20,"tensor(1.1937, device='cuda:0')","tensor(40970.6641, device='cuda:0')"
4,25,"tensor(1.2873, device='cuda:0')","tensor(52217.1680, device='cuda:0')"
5,30,"tensor(1.3580, device='cuda:0')","tensor(73682.7188, device='cuda:0')"
6,35,"tensor(1.4287, device='cuda:0')","tensor(97426.7266, device='cuda:0')"
7,40,"tensor(1.5794, device='cuda:0')","tensor(152012.3125, device='cuda:0')"
8,45,"tensor(1.6669, device='cuda:0')","tensor(187713.8906, device='cuda:0')"
9,50,"tensor(1.8741, device='cuda:0')","tensor(227422.9062, device='cuda:0')"
10,55,"tensor(1.9776, device='cuda:0')","tensor(271162.0625, device='cuda:0')"
11,60,"tensor(2.2354, device='cuda:0')","tensor(366870.2188, device='cuda:0')"
12,65,"tensor(2.3212, device='cuda:0')","tensor(426708.5625, device='cuda:0')"
13,70,"tensor(2.4685, device='cuda:0')","tensor(490978.7500, device='cuda:0')"
14,75,"tensor(2.6319, device='cuda:0')","tensor(566436.1250, device='cuda:0')"
15,80,"tensor(2.9486, device='cuda:0')","tensor(734224.5000, device='cuda:0')"
16,85,"tensor(3.1042, device='cuda:0')","tensor(836266.7500, device='cuda:0')"
17,90,"tensor(3.2905, device='cuda:0')","tensor(952046.5000, device='cuda:0')"
18,95,"tensor(3.4852, device='cuda:0')","tensor(1079183.7500, device='cuda:0')"
19,100,"tensor(3.9130, device='cuda:0')","tensor(1364840.1250, device='cuda:0')"
20,105,"tensor(4.1474, device='cuda:0')","tensor(1535102.7500, device='cuda:0')"
21,110,"tensor(4.4003, device='cuda:0')","tensor(1727554.8750, device='cuda:0')"
