,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,0.10298957281372614,untargeted,0.08402089029550552,0.002328038215637207,0.0
1,20,0.35898717196622043,untargeted,1.2657743692398071,0.022736430168151855,1373.142578125
2,40,0.47699254198271046,untargeted,1.7437529563903809,0.03098618984222412,1996.19677734375
3,60,0.5198815013245037,untargeted,2.0009074211120605,0.03277158737182617,2381.12548828125
4,80,0.5654200060799427,untargeted,2.2176332473754883,0.034467458724975586,2702.832275390625
5,100,0.6122172701124191,untargeted,2.4228546619415283,0.03562724590301514,2991.50439453125
6,120,0.665310730023747,untargeted,2.6032140254974365,0.03686249256134033,3234.8466796875
7,140,0.7140244545832002,untargeted,2.7523021697998047,0.03933262825012207,3432.479248046875
8,160,0.7631435247065559,untargeted,2.8764843940734863,0.041201233863830566,3595.64501953125
9,180,0.8060796310534456,untargeted,2.9800775051116943,0.04279446601867676,3729.941162109375
10,200,0.8441592975343448,untargeted,3.0624804496765137,0.044185757637023926,3834.94677734375
11,220,0.8676926768575235,untargeted,3.129453420639038,0.04533684253692627,3918.988037109375
12,240,0.891615964600837,untargeted,3.1836657524108887,0.046135902404785156,3986.1591796875
13,260,0.9104179399623504,untargeted,3.227848768234253,0.04670405387878418,4040.14013671875
14,280,0.9268906824371957,untargeted,3.2652671337127686,0.047150254249572754,4085.350341796875
15,300,0.9401222648046254,untargeted,3.2968478202819824,0.04751420021057129,4123.234375
16,320,0.951747542810895,untargeted,3.323343515396118,0.047810912132263184,4154.845703125
17,340,0.9600242998718433,untargeted,3.345777988433838,0.048049211502075195,4181.333984375
18,360,0.9665588556668753,untargeted,3.365358829498291,0.04826509952545166,4204.3232421875
19,380,0.9704392370205078,untargeted,3.382477283477783,0.04845261573791504,4224.36328125
20,399,0.9746573984417899,untargeted,3.396868944168091,0.04861295223236084,4241.18017578125
