,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,1.0,untargeted,0.010141629725694656,0.00045561790466308594,0.0
1,50,1.0,untargeted,3.3104567527770996,0.088470458984375,1280.6182861328125
2,100,1.0,untargeted,5.457513332366943,0.15254998207092285,2158.042724609375
3,150,1.0,untargeted,7.18761682510376,0.19260776042938232,2886.54736328125
4,200,1.0,untargeted,8.69234561920166,0.22849249839782715,3537.202392578125
5,250,1.0,untargeted,10.04415225982666,0.248571515083313,4125.8115234375
6,300,1.0,untargeted,11.310619354248047,0.25889015197753906,4683.3193359375
7,350,1.0,untargeted,12.526110649108887,0.2630927562713623,5221.6875
8,400,1.0,untargeted,13.688901901245117,0.26745152473449707,5740.564453125
9,450,1.0,untargeted,14.790716171264648,0.2727113962173462,6239.357421875
10,500,1.0,untargeted,15.840778350830078,0.2791752815246582,6719.0390625
11,550,1.0,untargeted,16.866308212280273,0.3139488101005554,7188.5361328125
12,600,1.0,untargeted,17.839733123779297,0.34976333379745483,7633.9345703125
13,650,1.0,untargeted,18.76715850830078,0.38098400831222534,8056.9677734375
14,700,1.0,untargeted,19.6512508392334,0.4089624285697937,8460.291015625
15,750,1.0,untargeted,20.492700576782227,0.4377260208129883,8844.1796875
16,800,1.0,untargeted,21.293725967407227,0.4668894410133362,9210.287109375
17,850,1.0,untargeted,22.05895233154297,0.49279701709747314,9561.0166015625
18,900,1.0,untargeted,22.800392150878906,0.5116838812828064,9900.4794921875
19,950,1.0,untargeted,23.511320114135742,0.5246217846870422,10226.9072265625
20,1000,1.0,untargeted,24.196168899536133,0.5363078117370605,10541.751953125
21,1050,1.0,untargeted,24.8614444732666,0.5468982458114624,10849.271484375
22,1100,1.0,untargeted,25.505821228027344,0.5571268796920776,11147.43359375
23,1150,1.0,untargeted,26.125783920288086,0.5672169923782349,11434.517578125
24,1200,1.0,untargeted,26.73110008239746,0.5738617181777954,11713.939453125
25,1250,1.0,untargeted,27.319494247436523,0.5782201290130615,11984.74609375
26,1300,1.0,untargeted,27.894420623779297,0.5822235345840454,12249.3193359375
27,1350,1.0,untargeted,28.454362869262695,0.5864889025688171,12506.4697265625
28,1400,1.0,untargeted,29.000822067260742,0.5902718901634216,12758.4453125
29,1450,1.0,untargeted,29.534271240234375,0.5945627093315125,13004.421875
30,1500,1.0,untargeted,30.052642822265625,0.5996427536010742,13244.03515625
31,1550,1.0,untargeted,30.557634353637695,0.6053149104118347,13477.73828125
32,1599,1.0,untargeted,31.04037857055664,0.6111403703689575,13701.28125
