,iteration,iou,pixelwise accuracy,L2 norm,Linf norm,selected distance
0,0,,untargeted,51.15969467163086,1.8952181339263916,0.0
1,50,,untargeted,144.30181884765625,2.1052584648132324,66506.203125
2,100,,untargeted,176.68026733398438,2.627500534057617,81913.7421875
3,150,,untargeted,198.46583557128906,3.025257110595703,92047.546875
4,200,,untargeted,214.8356170654297,3.4051642417907715,99673.84375
5,250,,untargeted,229.01644897460938,3.747927188873291,106230.8203125
6,300,,untargeted,241.1630096435547,3.996389389038086,111861.453125
7,350,,untargeted,251.91676330566406,4.099424839019775,116766.8125
8,400,,untargeted,261.53045654296875,4.137486457824707,121233.0
9,450,,untargeted,270.2554626464844,4.135144233703613,125243.6875
10,500,,untargeted,278.5318908691406,4.1300811767578125,129086.828125
11,550,,untargeted,286.48126220703125,4.350864887237549,132727.15625
12,600,,untargeted,293.76605224609375,4.5882344245910645,136086.390625
13,650,,untargeted,300.6490783691406,4.7324018478393555,139230.5
14,700,,untargeted,307.3388366699219,4.801000118255615,142334.75
15,750,,untargeted,313.6887512207031,4.9867963790893555,145287.859375
16,800,,untargeted,319.95098876953125,4.946058750152588,148159.515625
17,850,,untargeted,325.7716979980469,5.145721912384033,150819.4375
18,900,,untargeted,331.2442932128906,5.230610370635986,153343.03125
19,950,,untargeted,336.7917785644531,5.335841178894043,155890.375
20,1000,,untargeted,341.7255554199219,5.37655782699585,158136.28125
21,1050,,untargeted,346.6233215332031,5.456331729888916,160366.875
22,1100,,untargeted,351.5376892089844,5.634230136871338,162600.46875
23,1150,,untargeted,356.048583984375,5.83267879486084,164631.75
24,1200,,untargeted,360.6843566894531,5.802915573120117,166778.28125
25,1250,,untargeted,364.9433898925781,5.9264068603515625,168701.09375
26,1300,,untargeted,369.22222900390625,5.9727325439453125,170676.34375
27,1350,,untargeted,373.3233337402344,6.077033519744873,172540.984375
28,1400,,untargeted,377.4423522949219,6.112302780151367,174416.96875
29,1450,,untargeted,381.4093322753906,6.230710983276367,176215.625
30,1500,,untargeted,385.2900695800781,6.358614444732666,177980.078125
31,1550,,untargeted,388.9736022949219,6.354344844818115,179634.359375
32,1599,,untargeted,392.62451171875,6.540170669555664,181262.125
